NOME_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;APROVADA;DISTRIBUIDA;OCUPADA;VAGAS
jan 2016;52201;AGENCIA NACIONAL DE AVIACAO CIVIL;ANAC;1893;1479;1281;612
jan 2016;53202;SUPERINTENDENCIA DO DESENV. DA AMAZONIA;SUDAM;224;210;201;23
jan 2016;53203;SUPERINTENDENCIA DO DESENV. DO NORDESTE;SUDENE;253;229;209;44
jan 2016;53297;SUP.DE DESENVOLVIMENTO DO CENTRO OESTE;SUDECO;100;100;88;12
jan 2016;54000;MINISTERIO DO TURISMO;MTUR;313;293;204;109
jan 2016;55000;MINISTERIO DESENVOLV. SOCIAL E AGRÁRIO;MDSA;908;638;340;568
jan 2016;57201;FUND.JORGE DUPRAT FIG. SEG. MED.TRABALHO;F.CENTRO;513;379;286;227
jan 2016;57202;INSTITUTO NACIONAL DE SEGURO SOCIAL;INSS;56462;56043;37439;19023
jan 2016;70000;COMANDO DA MARINHA;CM;12416;11440;5139;7277
jan 2016;98000;ORGAO CENTRAL DO SIPEC;SIPEC;4590;0;0;4590
